ticker,profit_factor_raw,profit_factor_eff,profit_factor_diag,pf_capped,zero_loss,num_trades,ticker_score,total_return,gross_profit,gross_loss,gl_per_trade,atr_pct_med,maxdd,eligible,is_neg,num_neg_trades,run_coverage,run_zero_loss_pct,run_cap_pct,run_glpt_med,run_vol_med,run_stability_score
FROG,0.7334427023920592,0.7334427023920592,0.7334427023920592,0,0,8,0.16663579612955387,-0.10680918867964795,0.2275356306225391,0.31022959241458337,0.03877869905182292,0.03682145716573183,-0.2505131444185894,1,1,5,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
AIQ,1.3395128907735285,1.3395128907735285,1.3395128907735285,0,0,10,0.48021835660607937,0.04436081789483248,0.2295729828074583,0.17138542255826056,0.017138542255826054,0.01618753855644626,-0.13159936481632306,1,0,4,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
SNOW,2.4560257272827126,2.4560257272827126,2.4560257272827126,0,0,7,0.938837015575233,0.16888316689684624,0.3387885451064819,0.13794177371313993,0.019705967673305704,0.03493392412935309,-0.11930222449971195,1,0,4,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
AER,16.60922208430545,16.60922208430545,4.0,1,0,6,0.9881102184755315,0.25222988762133003,0.24924411344413056,0.01500636888223975,0.0025010614803732917,0.015993156265276066,-0.01500636888313478,1,0,1,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
JKHY,2.1475388364621617,2.1475388364621617,2.1475388364621617,0,0,5,0.8506980549023739,0.06033446342653326,0.11568264572196171,0.05386754537698437,0.010773509075396873,0.01755295689943192,-0.05317355436046445,1,0,2,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
RCL,3.422811385187708,3.422811385187708,3.422811385187708,0,0,7,0.9913217610296972,0.3212504465972852,0.45863157721906966,0.1339926527075982,0.019141807529656885,0.03168839592657445,-0.08163200816757088,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
TEVA,9.605108963948055,9.605108963948055,4.0,1,0,8,0.9977257078141145,0.6348894110579781,0.6046874306835952,0.06295477052402394,0.007869346315502993,0.030417940876654913,-0.04194751507814021,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
CX,3.520837700601256,3.520837700601256,3.520837700601256,0,0,6,0.9851620506709747,0.17986661088483502,0.25185122491412015,0.0715316201229927,0.01192193668716545,0.025522682445756853,-0.07153162012376213,1,0,1,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
GE,15.467194383916194,15.467194383916194,4.0,1,0,8,0.9977257078141145,0.2883630880233854,0.2905892480065608,0.018787456910009135,0.002348432113751142,0.023104900316750426,-0.012173981569736703,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
XBI,4.419667895646688,4.419667895646688,4.0,1,0,8,0.9977257078141145,0.13384067999170957,0.17017968056103713,0.03850508331828773,0.0048131354147859665,0.0214808496811663,-0.03805329235902999,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
IYW,2.1047556402954894,2.1047556402954894,2.1047556402954894,0,0,10,0.8697664085478092,0.14138726086786346,0.29549435373580946,0.1403936628455,0.014039366284550001,0.014998556720869754,-0.10418734446866895,1,0,5,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
STX,23.41225792193884,23.41225792193884,4.0,1,0,6,0.9881102184755315,0.7455675382718878,0.6588748844997473,0.028142304202207587,0.004690384033701265,0.032791495198902246,-0.028142304202766866,1,0,1,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
RY,2.8813273706902107,2.8813273706902107,2.8813273706902107,0,0,8,0.9783011480476459,0.06720295662975029,0.10554127765475478,0.03662939474644729,0.004578674343305911,0.01105585189833692,-0.0336298760579411,1,0,5,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
DELL,0.7291536282447928,0.7291536282447928,0.7291536282447928,0,0,9,0.1655724825091545,-0.09714496522883342,0.2211997211042264,0.30336504206485937,0.03370722689609548,0.035961181434598866,-0.27015895349848973,1,1,5,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
TK,4.149328281697301,4.149328281697301,4.0,1,0,7,0.9954536132298974,0.39113340217911596,0.4860074604295534,0.11712918993981117,0.016732741419973024,0.02772753291356294,-0.10077548653775059,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
MRK,0.7787931388006869,0.7787931388006869,0.7787931388006869,0,0,9,0.18191293453556379,-0.049079911708358126,0.13823792038837654,0.17750274559590742,0.01972252728843416,0.024024957181306282,-0.15116461335354803,1,1,7,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
WWD,36.020501316398644,36.020501316398644,4.0,1,0,8,0.9977257078141145,0.32020800983223796,0.3049191983891357,0.008465156986871768,0.001058144623358971,0.022465982002741223,-0.00846515698770045,1,0,1,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
ARGX,2.7167681097447134,2.7167681097447134,2.7167681097447134,0,0,7,0.9658100394836613,0.19163792325046725,0.3188191782265261,0.1173523706653361,0.0167646243807623,0.023503169358612547,-0.11427933207522512,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
RVMD,3.091182621446639,3.091182621446639,3.091182621446639,0,0,7,0.9844045487055003,0.35367034139909626,0.5211186595237265,0.16858229465583913,0.024083184950834162,0.03540526315789378,-0.1602054254283154,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
PALL,2.131891053173096,2.131891053173096,2.131891053173096,0,0,6,0.8675167470037232,0.037580295253250906,0.07303182285924381,0.034256826938010555,0.005709471156335092,0.022359361047722758,-0.029913582794193205,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
M,0.49846458911195485,0.49846458911195485,0.49846458911195485,0,0,7,0.10860920866720095,-0.08429119491003134,0.0817371844178319,0.16397791579027046,0.02342541654146721,0.03566804979252816,-0.13212772592594135,1,1,4,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
VTR,0.028642752565419934,0.028642752565419934,0.028642752565419934,0,0,6,0.057789023283435936,-0.11105393895610693,0.0034141607000795415,0.11919806562870003,0.019866344271450006,0.016170809432759507,-0.111053938956996,1,1,5,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
F,1.432968617262236,1.432968617262236,1.432968617262236,0,0,8,0.5407696360081934,0.04732835665586488,0.17675484376701858,0.12334871932137514,0.015418589915171893,0.023725490196076313,-0.10915387838303658,1,0,3,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
XLK,3.240258804966844,3.240258804966844,3.240258804966844,0,0,8,0.990476734560182,0.17269584407857108,0.25967472584748785,0.08014011888477685,0.010017514860597106,0.01789921016483508,-0.04442998184102487,1,0,4,1.0,0.0,0.2857142857142857,0.01209508497873881,0.02577603952243668,0.9560529379241849
