ticker,profit_factor_raw,profit_factor_eff,profit_factor_diag,pf_capped,zero_loss,num_trades,ticker_score,total_return,gross_profit,gross_loss,gl_per_trade,atr_pct_med,maxdd,eligible,is_neg,num_neg_trades,run_coverage,run_zero_loss_pct,run_cap_pct,run_glpt_med,run_vol_med,run_stability_score,regime
M,3.512521363282876,3.512521363282876,3.512521363282876,0,0,9,0.9951319572095736,0.4771693611657106,0.6053021345369342,0.1723269617273462,0.0191474401919273,0.0356680497925281,-0.1709120600466123,1,0,2,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
VTR,1.8063697620474977,1.8063697620474977,1.8063697620474977,0,0,10,0.7465829119531359,0.0652037406727583,0.150390502351881,0.0832556575689217,0.0083255657568921,0.0161708094327595,-0.0430773107984699,1,0,4,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
F,9.138541592018791,9.138541592018791,4.0,1,0,8,0.9976121290783432,0.1625850054616173,0.1731999438591438,0.0189526897826245,0.002369086222828,0.0237254901960763,-0.0132106761575374,1,0,2,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
XLK,3.240258804966844,3.240258804966844,3.240258804966844,0,0,8,0.990476734560182,0.172695844078571,0.2596747258474878,0.0801401188847768,0.0100175148605971,0.017899210164835,-0.0444299818410248,1,0,4,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
JAZZ,3.3464748157704567,3.3464748157704567,3.3464748157704567,0,0,8,0.9920798828316136,0.1649542984685188,0.2278513199038442,0.0680869668673679,0.0085108708584209,0.0253021214337964,-0.0675589377141878,1,0,2,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
AMAT,34.23927384456383,34.23927384456383,4.0,1,0,7,0.9954536132298974,0.5195192428884119,0.4562049308302502,0.0133240247121269,0.0019034321017324,0.0339831091648418,-0.0133240247130222,1,0,1,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
SU,3.5048169986995483,3.5048169986995483,3.5048169986995483,0,0,6,0.9849899675498238,0.1142197213220059,0.16185485855205,0.0461806874972661,0.0076967812495443,0.0201943237023773,-0.0455170717959492,1,0,4,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
SBGI,4.87858277209646,4.87858277209646,4.0,1,0,6,0.9881102184755316,0.2961173630268183,0.3568962331120549,0.0731557195571956,0.0121926199261992,0.0354443614637763,-0.0731557195578584,1,0,1,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
LUV,1.7928760326807691,1.7928760326807691,1.7928760326807691,0,0,9,0.7504194071215812,0.1259382967953621,0.3274495192779533,0.1826392418154754,0.0202932490906083,0.0308223116733746,-0.130511047363114,1,0,6,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
bidu,1.6567335708563038,1.6567335708563038,1.6567335708563038,0,0,8,0.6653912190692629,0.0683873527132763,0.1856575084546838,0.1120623808924958,0.0140077976115619,0.0362312051378916,-0.1077447030043345,1,0,4,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
ICE,1.1175349706737951,1.1175349706737951,1.1175349706737951,0,0,9,0.322763618896527,0.0086584151637121,0.1239259537589059,0.1108922378368055,0.012321359759645,0.0148570767272305,-0.0511059574913561,1,0,3,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
IQV,15.177184885192638,15.177184885192638,4.0,1,0,9,0.9983365288570824,0.6444731453027679,0.578572922079409,0.0381212277807779,0.0042356919756419,0.0259385774147349,-0.0254627065477223,1,0,3,1.0,0.0272108843537414,0.2993197278911564,0.0088722895130597,0.0257760395224366,0.9607221296010604,trend
UHS,3.889734614927704,3.889734614927704,3.889734614927704,0,0,6,0.9877047721226708,0.1845583517014031,0.2415793207344905,0.0621068902252038,0.0103511483708673,0.0271307567173387,-0.061895982733571,1,0,2,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
DINO,5.385297007097225,5.385297007097225,4.0,1,0,7,0.9954536132298974,0.3173257050112661,0.3619207554451527,0.0672053472572044,0.0096007638938863,0.0292724757952965,-0.0395840644591669,1,0,2,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
GS,5.335932987408104,5.335932987408104,4.0,1,0,10,0.9986240094583267,0.2068514709837101,0.2407116416651941,0.0451114439092906,0.004511144390929,0.021934679371941,-0.0191703126652882,1,0,4,1.0,0.0,0.2857142857142857,0.0120950849787388,0.0257760395224366,0.9560529379241848,swing
