ticker,profit_factor,profit_factor_diag,trend_metric,num_trades,ticker_score,total_return,gross_profit,gross_loss,maxdd,eligible
RVMD,inf,12.0,5.919186111312111,1,0.0,0.01757402727806001,0.018796215970587067,0.0,0.0,False
NVGS,inf,12.0,3.733052883361751,1,0.0,0.01607871444196407,0.01729910714285707,0.0,-0.0006000000000000449,False
META,inf,12.0,0.5409035134611773,1,0.0,0.011112180817924866,0.012326608310318428,0.0,-0.0006000000000000449,False
LUV,inf,12.0,1.8294975201592731,1,0.0,0.0057532680750607135,0.006961259079903268,0.0,-0.0006000000000000449,False
ADBE,0.0,0.0,3.7099755645946955,0,0.0,0.0,0.0,0.0,0.0,False
AMX,0.0,0.0,7.622030633714683,0,0.0,0.0,0.0,0.0,0.0,False
ATI,0.0,0.0,5.620578504789121,0,0.0,0.0,0.0,0.0,0.0,False
AXSM,0.0,0.0,3.5393529040347245,0,0.0,0.0,0.0,0.0,0.0,False
EQNR,0.0,0.0,0.9019823133415723,0,0.0,0.0,0.0,0.0,0.0,False
NGL,0.0,0.0,7.013990859728827,0,0.0,0.0,0.0,0.0,0.0,False
NRIM,0.0,0.0,44.63234372730433,0,0.0,0.0,0.0,0.0,0.0,False
NTRB,0.0,0.0,4.0586871415963515,0,0.0,0.0,0.0,0.0,0.0,False
PBBK,0.0,0.0,25.144303109885993,0,0.0,0.0,0.0,0.0,0.0,False
PBR,0.0,0.0,1.0270877416392037,0,0.0,0.0,0.0,0.0,0.0,False
PTCT,0.0,0.0,5.369973889944145,0,0.0,0.0,0.0,0.0,0.0,False
SCHD,0.0,0.0,0.5479107912907266,0,0.0,0.0,0.0,0.0,0.0,False
SN,0.0,0.0,0.7560856186661102,0,0.0,0.0,0.0,0.0,0.0,False
TCMD,0.0,0.0,5.898326414977172,0,0.0,0.0,0.0,0.0,0.0,False
UHS,0.0,0.0,4.504031177513572,0,0.0,0.0,0.0,0.0,0.0,False
VTR,0.0,0.0,4.5817186604485824,0,0.0,0.0,0.0,0.0,0.0,False
JKHY,0.0,0.0,2.103993277574823,1,0.0,-0.0006000000000000449,0.0,0.0,0.0,False
CTSH,0.0,0.0,1.741763025349803,1,0.0,-0.001345684796022928,0.0,0.00014622020763276964,-0.001345684796022928,False
LLY,0.0,0.0,3.2446108960102342,1,0.0,-0.0017511305476984873,0.0,0.0005521529324422791,-0.0017511305476984873,False
RY,0.0,0.0,9.19632442073847,1,0.0,-0.0023573141064975323,0.0,0.0011590645667143077,-0.0023573141064975323,False
ENVA,0.0,0.0,4.34917495678491,1,0.0,-0.004599232784207041,0.0,0.0034036759700476287,-0.004599232784207041,False
CNQ,0.0,0.0,1.5062319529029895,1,0.0,-0.0061456365394699786,0.0,0.004951937081270076,-0.0061456365394699786,False
AMG,0.0,0.0,7.7883026144074785,1,0.0,-0.007549010453298255,0.0,0.006356996560652247,-0.007549010453298255,False
NDAQ,0.0,0.0,2.8686789477458725,1,0.0,-0.007905998728737651,0.0,0.006714413607878182,-0.007905998728737651,False
MSFT,0.0,0.0,3.5058778730449944,1,0.0,-0.013992778112731141,0.0,0.012808503706117056,-0.013992778112731141,False
NSC,0.0,0.0,6.426988720048725,1,0.0,-0.016795741912817408,0.0,0.015614834092387947,-0.016795741912817408,False
HTHT,0.0,0.0,4.299501509102001,1,0.0,-0.018432642638080643,0.0,0.017253700867789663,-0.018432642638080643,False
REGN,0.0,0.0,2.3791269227503906,1,0.0,-0.02310619845355122,0.0,0.021932870001720017,-0.02310619845355122,False
EPAM,0.0,0.0,1.8314525481005044,1,0.0,-0.02840396797687328,0.0,0.027237002574641914,-0.02840396797687328,False
RCL,0.0,0.0,1.3519934539507934,1,0.0,-0.0358698167272522,0.0,0.034711818413093176,-0.0358698167272522,False
XSD,0.0,0.0,7.341649312575835,1,0.0,-0.045977374817196326,0.0,0.04483151649764746,-0.045977374817196326,False
PTGX,0.0,0.0,6.979701590968816,1,0.0,-0.047517179088922945,0.0,0.046373170198820236,-0.047517179088922945,False
ARKK,0.0,0.0,4.806821065837533,1,0.0,-0.0501586664103959,0.0,0.04901783016016915,-0.0501586664103959,False
NOW,0.0,0.0,3.583507069634908,1,0.0,-0.07852847472603552,0.0,0.07742171290971048,-0.07852847472603552,False
ARKW,0.0,0.0,5.733051835100057,1,0.0,-0.1453281581011141,0.0,0.14430162810625546,-0.1453281581011141,False
NFLX,0.0,0.0,18.51561292120209,1,0.0,-0.9085006946966284,0.0,0.9083907966318999,-0.9085006946966284,False
