number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
1324,3.1118036734607606,2026-01-07 05:04:21.694274,2026-01-07 05:04:21.797726,0 days 00:00:00.103452,23,38,2.512598015962275,3.9395157021287615,5.841472162541413,2.1130131832841847,COMPLETE
1318,3.1118036734607606,2026-01-07 05:04:20.020808,2026-01-07 05:04:20.212206,0 days 00:00:00.191398,38,38,3.670871947263002,2.6384536600050983,5.889409905385001,2.3251934102452285,COMPLETE
1317,3.1118036734607606,2026-01-07 05:04:19.807867,2026-01-07 05:04:19.885680,0 days 00:00:00.077813,42,38,2.8925485584862938,2.8496027093065117,3.366884631447979,1.5440732717017727,COMPLETE
1314,3.1118036734607606,2026-01-07 05:04:18.975770,2026-01-07 05:04:19.145923,0 days 00:00:00.170153,16,39,2.1959481618393473,3.3178896469110732,3.217933137844854,1.9413506739672857,COMPLETE
371,3.1118036734607606,2026-01-07 05:00:34.177893,2026-01-07 05:00:34.261707,0 days 00:00:00.083814,48,39,3.7952965941894683,2.3037950373150333,4.402546043835494,3.6453455029450756,COMPLETE
370,3.1118036734607606,2026-01-07 05:00:33.827721,2026-01-07 05:00:34.027132,0 days 00:00:00.199411,48,38,3.3462627298956535,2.488476216752417,5.343511526303779,3.2162742872518626,COMPLETE
1813,3.1118036734607606,2026-01-07 05:06:37.643276,2026-01-07 05:06:37.764786,0 days 00:00:00.121510,48,39,3.2805298766957334,2.7712042515800586,5.958176586842678,2.6181579055072537,COMPLETE
336,3.1118036734607606,2026-01-07 05:00:25.825096,2026-01-07 05:00:25.907082,0 days 00:00:00.081986,50,38,3.650160949470961,2.3567849691448535,5.226182670266487,3.465176654596767,COMPLETE
365,3.1118036734607606,2026-01-07 05:00:32.440690,2026-01-07 05:00:32.510068,0 days 00:00:00.069378,23,38,2.6820570206096113,3.5021446955730515,5.925411508363679,2.0386706769016896,COMPLETE
1351,3.1118036734607606,2026-01-07 05:04:29.081951,2026-01-07 05:04:29.166199,0 days 00:00:00.084248,49,39,3.149590005434371,3.2339745300832594,5.718036100284291,3.414268053220561,COMPLETE
1344,3.1118036734607606,2026-01-07 05:04:27.410327,2026-01-07 05:04:27.500699,0 days 00:00:00.090372,13,38,3.181929940667463,3.500461637412574,3.843896006721198,1.6646429830694904,COMPLETE
345,3.1118036734607606,2026-01-07 05:00:27.792905,2026-01-07 05:00:27.864526,0 days 00:00:00.071621,48,39,3.5669773508704603,2.451123447506083,4.932985378979239,3.708827894423487,COMPLETE
338,3.1118036734607606,2026-01-07 05:00:26.269652,2026-01-07 05:00:26.340092,0 days 00:00:00.070440,39,39,3.9393386245472852,2.282216330047973,4.526836514872002,3.7211402022078865,COMPLETE
1384,3.1118036734607606,2026-01-07 05:04:37.050692,2026-01-07 05:04:37.133454,0 days 00:00:00.082762,15,39,3.1024970419718283,2.4572005268111243,3.8251648515796273,2.141511918411794,COMPLETE
1639,3.1118036734607606,2026-01-07 05:05:50.191206,2026-01-07 05:05:50.280816,0 days 00:00:00.089610,50,38,3.297797418465646,2.7072607127330772,3.8677016279335135,3.2360800574781505,COMPLETE
1634,3.1118036734607606,2026-01-07 05:05:49.001092,2026-01-07 05:05:49.087421,0 days 00:00:00.086329,49,38,2.557945385618543,2.996110794564604,3.058701695400473,1.858496116918273,COMPLETE
1632,3.1118036734607606,2026-01-07 05:05:48.499959,2026-01-07 05:05:48.585152,0 days 00:00:00.085193,18,38,2.9873526109603166,2.8936768014443475,3.1552142382287687,2.348388452935222,COMPLETE
1658,3.1118036734607606,2026-01-07 05:05:55.573074,2026-01-07 05:05:55.703117,0 days 00:00:00.130043,11,39,3.1209224194751672,3.5587579826694014,3.212614996691335,1.690081718986575,COMPLETE
1378,3.1118036734607606,2026-01-07 05:04:35.657757,2026-01-07 05:04:35.740691,0 days 00:00:00.082934,16,39,2.473505268998607,2.774158138621261,3.344853185578355,1.8737015884157626,COMPLETE
1805,3.1118036734607606,2026-01-07 05:06:35.430119,2026-01-07 05:06:35.530551,0 days 00:00:00.100432,34,39,3.955378078168576,2.5233165105313224,3.7306557425364435,3.4811112706791585,COMPLETE
310,3.1118036734607606,2026-01-07 05:00:19.079671,2026-01-07 05:00:19.161466,0 days 00:00:00.081795,24,39,2.642165179174576,3.8474663919072585,5.582803405761972,1.8803662424471663,COMPLETE
273,3.1118036734607606,2026-01-07 05:00:10.597851,2026-01-07 05:00:10.682428,0 days 00:00:00.084577,49,38,3.6042074379100897,2.0048065890450006,5.546332316315437,2.793059207369673,COMPLETE
299,3.1118036734607606,2026-01-07 05:00:16.790750,2026-01-07 05:00:16.865361,0 days 00:00:00.074611,19,38,3.1095741678183106,3.119800195410081,3.0296041371669418,2.2011849251993927,COMPLETE
292,3.1118036734607606,2026-01-07 05:00:14.925187,2026-01-07 05:00:15.043443,0 days 00:00:00.118256,12,38,2.162928363246037,3.421932435977182,3.1606607927677928,1.928804113291924,COMPLETE
291,3.1118036734607606,2026-01-07 05:00:14.707621,2026-01-07 05:00:14.786865,0 days 00:00:00.079244,29,39,2.2322375337891893,3.666393566713904,5.36078381466131,1.9503917410447358,COMPLETE
1431,3.1118036734607606,2026-01-07 05:04:48.949332,2026-01-07 05:04:49.044396,0 days 00:00:00.095064,40,38,2.473527254675868,3.8431825885319872,3.8642191313381224,2.5252306582420134,COMPLETE
1448,3.1118036734607606,2026-01-07 05:04:52.982757,2026-01-07 05:04:53.061883,0 days 00:00:00.079126,50,39,3.51557722127117,3.9784141273393736,3.3938848414215133,2.505124576591666,COMPLETE
1469,3.1118036734607606,2026-01-07 05:05:00.652077,2026-01-07 05:05:00.747951,0 days 00:00:00.095874,39,39,3.7881043627293662,2.0045662719861395,4.644890456442951,3.272776222816895,COMPLETE
1467,3.1118036734607606,2026-01-07 05:04:59.929037,2026-01-07 05:05:00.133591,0 days 00:00:00.204554,11,39,3.4625797459993626,3.303429564898534,3.0128464754668838,2.1094717070758535,COMPLETE
285,3.1118036734607606,2026-01-07 05:00:13.371501,2026-01-07 05:00:13.464365,0 days 00:00:00.092864,15,38,2.283603854763465,2.9562486442339546,3.6744379833909866,1.990863371599449,COMPLETE
1475,3.1118036734607606,2026-01-07 05:05:02.073038,2026-01-07 05:05:02.153441,0 days 00:00:00.080403,36,39,2.240583378698368,2.516433613869606,4.120368583438001,2.0904776071517075,COMPLETE
142,3.1118036734607606,2026-01-07 04:59:39.866595,2026-01-07 04:59:39.934240,0 days 00:00:00.067645,26,39,2.3710811095566338,4.4746567577752945,5.784598934340806,1.7285303736352027,COMPLETE
137,3.1118036734607606,2026-01-07 04:59:38.702822,2026-01-07 04:59:38.772333,0 days 00:00:00.069511,22,38,2.2841011643866946,4.059568512481638,5.73198323270144,1.951340106632361,COMPLETE
159,3.1118036734607606,2026-01-07 04:59:43.509742,2026-01-07 04:59:43.574624,0 days 00:00:00.064882,48,39,2.7199859329067055,2.717181615754962,3.3470217034493075,1.5443819389701987,COMPLETE
241,3.1118036734607606,2026-01-07 05:00:02.807766,2026-01-07 05:00:02.885875,0 days 00:00:00.078109,10,39,3.52247031383924,3.4929947849125473,3.15204579403365,1.9258917343753237,COMPLETE
240,3.1118036734607606,2026-01-07 05:00:02.595468,2026-01-07 05:00:02.665532,0 days 00:00:00.070064,10,38,3.512594877320047,3.921628739772393,3.055430100573009,2.410210542933385,COMPLETE
1496,3.1118036734607606,2026-01-07 05:05:07.305851,2026-01-07 05:05:07.396090,0 days 00:00:00.090239,20,38,3.5168290642545466,3.733219025423035,3.038124242996139,2.0163748239125274,COMPLETE
227,3.1118036734607606,2026-01-07 04:59:59.279813,2026-01-07 04:59:59.389687,0 days 00:00:00.109874,46,39,3.305829683159899,2.135596451266973,5.899704466915841,2.995214595214236,COMPLETE
1507,3.1118036734607606,2026-01-07 05:05:10.368249,2026-01-07 05:05:10.453306,0 days 00:00:00.085057,12,39,2.1430889999391547,3.116642008947351,3.989954499541433,2.5072290651498688,COMPLETE
217,3.1118036734607606,2026-01-07 04:59:56.628884,2026-01-07 04:59:56.698894,0 days 00:00:00.070010,42,39,2.0760002500847476,3.4651470478153468,3.080375179558641,1.8227143451032757,COMPLETE
1524,3.1118036734607606,2026-01-07 05:05:14.509613,2026-01-07 05:05:14.616304,0 days 00:00:00.106691,46,38,2.6099490125840825,2.5747460353392078,4.225759143187216,1.8852998457236458,COMPLETE
179,3.1118036734607606,2026-01-07 04:59:47.926320,2026-01-07 04:59:47.993178,0 days 00:00:00.066858,24,39,2.953847814421131,4.195543157215687,5.74345110971011,2.213920172639842,COMPLETE
1954,3.1118036734607606,2026-01-07 05:07:14.499298,2026-01-07 05:07:14.582411,0 days 00:00:00.083113,28,38,2.4386354351735293,2.7354159752958407,4.838410236283987,1.7686570676372784,COMPLETE
1573,3.1118036734607606,2026-01-07 05:05:30.517657,2026-01-07 05:05:30.693360,0 days 00:00:00.175703,50,38,2.0628080824326367,3.3435405207693827,3.766243705655329,2.195779822669406,COMPLETE
1623,3.1118036734607606,2026-01-07 05:05:46.336838,2026-01-07 05:05:46.423449,0 days 00:00:00.086611,47,38,3.2194843040112175,2.625966049181471,5.552464179946262,2.853386473073056,COMPLETE
41,3.1118036734607606,2026-01-07 04:59:15.927143,2026-01-07 04:59:15.995038,0 days 00:00:00.067895,48,38,2.1034937888118703,3.1365615331966015,3.251330082880798,1.8762676032458658,COMPLETE
723,3.1118036734607606,2026-01-07 05:01:56.587268,2026-01-07 05:01:56.659903,0 days 00:00:00.072635,50,38,3.4439581457033994,2.592791024082847,4.7895470364991075,3.6277106170550977,COMPLETE
1735,3.1118036734607606,2026-01-07 05:06:16.620229,2026-01-07 05:06:16.731493,0 days 00:00:00.111264,21,39,2.5078826760996846,3.1375540831340794,3.8043765505199936,2.289198716937769,COMPLETE
1758,3.1118036734607606,2026-01-07 05:06:22.379856,2026-01-07 05:06:22.463676,0 days 00:00:00.083820,38,38,2.2911549946520675,4.019576179175467,3.7994376082874086,1.971471533734132,COMPLETE
768,3.1118036734607606,2026-01-07 05:02:07.142795,2026-01-07 05:02:07.213168,0 days 00:00:00.070373,39,39,2.517821960946138,3.19540216408627,3.385715205509893,2.023473982351785,COMPLETE
1774,3.0362608120135834,2026-01-07 05:06:26.560874,2026-01-07 05:06:26.659573,0 days 00:00:00.098699,45,36,2.1221342516622914,3.4006498512321315,3.017734254689703,2.1497859799708046,COMPLETE
740,3.0362608120135834,2026-01-07 05:02:00.423494,2026-01-07 05:02:00.551691,0 days 00:00:00.128197,25,37,2.765227300162331,3.664748790739572,5.460560014087541,1.6341262007745252,COMPLETE
810,3.0362608120135834,2026-01-07 05:02:17.058905,2026-01-07 05:02:17.137006,0 days 00:00:00.078101,39,35,3.541580732252368,2.714020877341413,5.183213597672544,3.4756080724763856,COMPLETE
805,3.0362608120135834,2026-01-07 05:02:15.859711,2026-01-07 05:02:15.945145,0 days 00:00:00.085434,37,35,2.4620513763356175,2.3610831925286697,4.970020558987954,1.5720061982317495,COMPLETE
801,3.0362608120135834,2026-01-07 05:02:14.981044,2026-01-07 05:02:15.057101,0 days 00:00:00.076057,43,35,2.465437426839924,2.6064554003299527,4.394990904280243,1.6534818939024627,COMPLETE
