number,value,datetime_start,datetime_complete,duration,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
150,3.3001585604916355,2026-01-06 22:34:15.230936,2026-01-06 22:34:15.281288,0 days 00:00:00.050352,3.0123029512756396,3.520895220198458,3.0096034767090183,3.1447187600733306,COMPLETE
149,3.3001585604916355,2026-01-06 22:34:15.050659,2026-01-06 22:34:15.102576,0 days 00:00:00.051917,2.8749766801212493,2.7807392787042713,3.91917910179812,2.7274223790271073,COMPLETE
148,3.3001585604916355,2026-01-06 22:34:14.865334,2026-01-06 22:34:14.918078,0 days 00:00:00.052744,2.495116172501871,2.9918659313094143,3.6108114846282104,1.604038958743381,COMPLETE
147,3.3001585604916355,2026-01-06 22:34:14.678051,2026-01-06 22:34:14.736627,0 days 00:00:00.058576,3.0661073888908628,3.024963700714746,5.075026555533051,2.3727862173733985,COMPLETE
146,3.3001585604916355,2026-01-06 22:34:14.504424,2026-01-06 22:34:14.554246,0 days 00:00:00.049822,2.7373346164225505,3.5493028573853826,3.4472852189689283,1.8829470057296804,COMPLETE
145,3.3001585604916355,2026-01-06 22:34:14.338040,2026-01-06 22:34:14.387615,0 days 00:00:00.049575,2.5941354480408787,2.1701626600541704,3.2406808744716864,1.9679251685582433,COMPLETE
144,3.3001585604916355,2026-01-06 22:34:14.168933,2026-01-06 22:34:14.219666,0 days 00:00:00.050733,2.303162305758911,2.824561363528639,4.2401996411908,3.3896272039255737,COMPLETE
175,3.3001585604916355,2026-01-06 22:34:19.888003,2026-01-06 22:34:19.948389,0 days 00:00:00.060386,3.3013771842743234,2.2984488631121986,5.510294205545064,3.120735065134768,COMPLETE
174,3.3001585604916355,2026-01-06 22:34:19.717435,2026-01-06 22:34:19.768036,0 days 00:00:00.050601,2.1516092427042075,2.8520911704538374,4.940002891195291,2.4272479230188595,COMPLETE
173,3.3001585604916355,2026-01-06 22:34:19.536019,2026-01-06 22:34:19.586979,0 days 00:00:00.050960,3.346110301166264,2.0383866085395423,4.97525205813918,3.0192775465329844,COMPLETE
172,3.3001585604916355,2026-01-06 22:34:19.359530,2026-01-06 22:34:19.412320,0 days 00:00:00.052790,3.91384599959631,2.52107563271016,5.919234717486484,2.867746441757021,COMPLETE
171,3.3001585604916355,2026-01-06 22:34:19.188270,2026-01-06 22:34:19.239194,0 days 00:00:00.050924,3.411696635664286,3.8663629310958294,3.661790002203701,3.8460311998589902,COMPLETE
170,3.3001585604916355,2026-01-06 22:34:19.013756,2026-01-06 22:34:19.067034,0 days 00:00:00.053278,2.385562818133304,3.087508873595802,3.0391219886773606,2.6357271626360768,COMPLETE
169,3.3001585604916355,2026-01-06 22:34:18.809563,2026-01-06 22:34:18.860424,0 days 00:00:00.050861,2.2503814965632536,4.121799229194555,4.0783193853699204,1.8333252690556436,COMPLETE
168,3.3001585604916355,2026-01-06 22:34:18.630088,2026-01-06 22:34:18.681075,0 days 00:00:00.050987,3.5149443396123754,2.2897972467340124,5.90249482961438,3.890077521725898,COMPLETE
167,3.3001585604916355,2026-01-06 22:34:18.448313,2026-01-06 22:34:18.506305,0 days 00:00:00.057992,2.1489168589437413,2.0109362942938143,5.765819680366298,3.259608314315868,COMPLETE
166,3.3001585604916355,2026-01-06 22:34:18.280004,2026-01-06 22:34:18.332119,0 days 00:00:00.052115,2.5568665820583885,2.0716364436698496,5.2245240522284515,3.6219795667997152,COMPLETE
165,3.3001585604916355,2026-01-06 22:34:18.096213,2026-01-06 22:34:18.149894,0 days 00:00:00.053681,2.832100072631321,2.046432252107717,5.718560601744461,3.3232762796919135,COMPLETE
164,3.3001585604916355,2026-01-06 22:34:17.890695,2026-01-06 22:34:17.964203,0 days 00:00:00.073508,2.9700278222831646,2.4434152599583654,5.899304025378723,2.6698157129676106,COMPLETE
