number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
172,0.8387554295441189,2026-01-02 23:14:57.595534,2026-01-02 23:15:00.531225,0 days 00:00:02.935691,23,48,1.567598203404819,9,8,20,10,2.9995572594353406,39,4,8,3.1440174898720055,1.2295701576503053,COMPLETE
111,0.8385511221398605,2026-01-02 23:12:34.894138,2026-01-02 23:12:36.794060,0 days 00:00:01.899922,15,49,3.282301396467132,3,7,25,10,2.0055800481111286,45,4,10,2.445907786228206,2.169467101731388,COMPLETE
130,0.838430236167926,2026-01-02 23:13:15.654128,2026-01-02 23:13:18.123688,0 days 00:00:02.469560,15,48,2.2957470667764883,6,8,20,10,3.21392236905205,44,3,7,3.318654504172615,1.6574018044920678,COMPLETE
70,0.8370074628217858,2026-01-02 23:11:02.862266,2026-01-02 23:11:05.390972,0 days 00:00:02.528706,19,54,1.8729841682143673,3,5,38,4,2.7268135263946025,45,2,6,5.13983400790164,1.5193381774603456,COMPLETE
50,0.8361765454013763,2026-01-02 23:10:11.582149,2026-01-02 23:10:13.954064,0 days 00:00:02.371915,11,58,1.7497879962835086,2,7,27,10,1.9066665821807496,45,2,10,3.9013982906860445,1.5260047910003645,COMPLETE
104,0.8358329037171865,2026-01-02 23:12:19.311109,2026-01-02 23:12:21.296744,0 days 00:00:01.985635,25,56,1.5088721717152076,2,8,35,10,2.3766275441045606,43,3,6,4.0480399908297215,1.5331684760713524,COMPLETE
106,0.8354750377820976,2026-01-02 23:12:23.605144,2026-01-02 23:12:25.707847,0 days 00:00:02.102703,15,51,2.274845058244347,2,8,20,9,2.2070763482087723,39,4,6,2.847333081981575,1.2213560840141118,COMPLETE
23,0.8349004186755915,2026-01-02 23:09:04.578194,2026-01-02 23:09:06.934339,0 days 00:00:02.356145,10,56,1.704414277228226,4,5,38,3,1.5487573608271707,42,3,5,2.3599726727323267,2.1866368723307503,COMPLETE
57,0.8345783457168092,2026-01-02 23:10:29.229978,2026-01-02 23:10:31.569040,0 days 00:00:02.339062,16,59,2.365424538322112,2,7,27,9,1.6414380268681898,45,2,9,1.9366050642353334,1.2404235722040384,COMPLETE
110,0.8342322898418734,2026-01-02 23:12:32.638760,2026-01-02 23:12:34.782581,0 days 00:00:02.143821,19,51,2.7924890979083807,5,7,29,10,3.022424567380568,39,4,8,2.7341856168627157,1.9175215397013852,COMPLETE
29,0.8340370392419814,2026-01-02 23:09:17.421443,2026-01-02 23:09:19.855955,0 days 00:00:02.434512,12,60,1.5683619193416565,4,7,33,8,1.9162923998888397,44,3,7,2.3118803816673354,2.218549398894515,COMPLETE
