number,value,datetime_start,datetime_complete,duration,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
113,0.8996855710884112,2026-01-04 03:26:39.349084,2026-01-04 03:26:41.034832,0 days 00:00:01.685748,39,2.2244355673938405,2.2528369736455134,3.4771367140069183,1.3979451985793108,COMPLETE
104,0.8996855710884112,2026-01-04 03:26:21.603303,2026-01-04 03:26:23.295732,0 days 00:00:01.692429,38,2.608618040551804,3.4301844207452605,3.427439032879921,1.411475295008439,COMPLETE
85,0.8996855710884112,2026-01-04 03:25:45.884486,2026-01-04 03:25:47.687280,0 days 00:00:01.802794,47,2.9332115301639687,3.501595875230971,3.1256507294847227,1.3996776138355496,COMPLETE
197,0.8996855710884112,2026-01-04 03:29:44.620634,2026-01-04 03:29:46.487462,0 days 00:00:01.866828,50,2.8873098193605395,3.206777967930794,3.083187898634276,1.3989885407942584,COMPLETE
59,0.8996855710884112,2026-01-04 03:24:54.417102,2026-01-04 03:24:56.350550,0 days 00:00:01.933448,44,2.9277729600626894,3.698240271603468,3.701012229048094,1.3996038379269098,COMPLETE
65,0.8996855710884112,2026-01-04 03:25:05.910394,2026-01-04 03:25:07.632854,0 days 00:00:01.722460,49,2.2826389399042837,3.5286260489795107,3.672058544891321,1.4074851621863391,COMPLETE
136,0.8995781602308619,2026-01-04 03:27:23.623539,2026-01-04 03:27:25.319703,0 days 00:00:01.696164,40,2.3346277172253673,3.1588024295230634,3.873111603711175,1.2485652898609556,COMPLETE
91,0.8995781602308619,2026-01-04 03:25:57.250167,2026-01-04 03:25:59.017739,0 days 00:00:01.767572,43,2.671809570668926,3.2525816376553407,3.7907179630984307,1.2487460874489416,COMPLETE
37,0.8995279297148325,2026-01-04 03:24:06.864247,2026-01-04 03:24:09.445303,0 days 00:00:02.581056,47,2.898533828408258,3.744239898937092,3.063591463466937,1.2457506495124373,COMPLETE
83,0.8995279297148325,2026-01-04 03:25:41.892454,2026-01-04 03:25:43.608936,0 days 00:00:01.716482,43,2.5016680679253187,3.6466829247717363,3.5485581445565386,1.245735848334541,COMPLETE
107,0.8995279297148325,2026-01-04 03:26:27.174949,2026-01-04 03:26:28.827930,0 days 00:00:01.652981,38,2.268998607219969,2.7918424362013674,3.315594776318913,1.2470975575021657,COMPLETE
195,0.8995279297148325,2026-01-04 03:29:40.432988,2026-01-04 03:29:42.257180,0 days 00:00:01.824192,36,2.2393278199787665,2.244631555134185,3.644779140771001,1.2276588734479268,COMPLETE
196,0.8995279297148325,2026-01-04 03:29:42.443179,2026-01-04 03:29:44.490288,0 days 00:00:02.047109,40,2.4287288781264724,3.347498771010546,3.654726166769034,1.2394384049222078,COMPLETE
140,0.8995279297148325,2026-01-04 03:27:30.773537,2026-01-04 03:27:32.573417,0 days 00:00:01.799880,46,2.3831468591965677,3.639484850318271,3.8224377268233485,1.2346459241571344,COMPLETE
165,0.8995279297148325,2026-01-04 03:28:27.190404,2026-01-04 03:28:29.384360,0 days 00:00:02.193956,50,2.9300453061646743,3.1979702587320147,3.3044030738868746,1.2320228703148286,COMPLETE
134,0.899492889055391,2026-01-04 03:27:19.957363,2026-01-04 03:27:21.770626,0 days 00:00:01.813263,36,2.6355105327369386,3.2726330349812396,3.220650494534016,1.211291349613406,COMPLETE
